id,nom_article,code_barres,date_peremption,PAU,PVU,PVG,categorie_id
1853,10000beaufort premium quality lager net,,1,33cl 4.6%c.volcanmettes 10000F,9300,,10000
1854,fruity orange 125ml,6253500771220,,75,100,,1
1855,vanillesmaak-gout vanille  gevulde koeken biscuits fourres 500g,5400141760484,,1450,1750,,1
1856,tot choco on-the-go spoon net,,1,80g,209,,300
1857,"lion daddy cafe rhum 42,8%v\v 750ml",8906013211537,,1750,2500,,1
1858,"lion daddy original dark rum 750ml 42,8%vol",8906013210011,,1667,2250,,1
1859,"london oak premium whisky 180ml 42,8%",8906013211513,,417,700,,1
1860,white blue 180ml42.8%,8906013210233,,438,700,,1
1861,white hills whisky 180ml,8906013212244,,417,700,,1
1862,"white blue 90ml 4,28%",8906013210288,,210,300,,1
1863,golfers sh t180ml 42.8%,8906013212145,,834,1000,,1
1864,victorio reserve brandy xo 180ml 42.8%,8906013210424,,834,1000,,1
1865,victorio xo750ml 42.8%,8906013210400,,3334,4000,,1
1866,white blue premium whisky750ml 42.8%,8906013211025,,2500,3000,,1
1867,white bluepremium whisky750ml 42.8%,8906013211032,,2334,3000,,1
1868,white hills deluxe whisky 750ml 42.8%,8906013210066,,1750,2500,,1
1869,london oak premium whisky 750ml 42.8%,8906013211506,,1750,2500,,1
1870,golfers sht barrelaged whisky1ltr42.8%,8906013212114,,3584,5000,,1
1872,johnnine walker black label 200ml 400%,5000267025209,,5000,5750,,1
1873,black fort xxxmatured rum 1000ml 42.8%75proof,8901053005900,,2250,3500,,1
1874,panca el puntal tempranillo 75cl -13%vol,8410775501992,,2834,3500,,1
1875,"nicol,s cocorib 750ml 37%vol",8901591003215,,1834,2250,,1
1876,7500folomi cocktail plus juice 7500,,,7000,7500,,1
1877,7000fanta canmettes 7000F,,,6500,7000,,1
1878,bonnet rouge lait concentre sucre 1000g,8716200391528,,1688,2000,,1
1881,xana sparkling grape non alcoholic 750ml,8413481040083,,1250,1500,,1
1882,alfakher parfum menthe ala creme,6291108160428,,1000,1250,,1
1883,alfakher parfum meethe,6291108160008,,900,1200,,1
1884,alfakher  parfum deux pommes,6291108160121,,800,1000,,1
1886,anacardes 100F,,,0,0,,1
1888,classic,8691707552309,,0,0,,1
1889,brio couscous calibre moyen 1kg,6111012300287,,1000,1200,,1
1890,350chicoree leroux grains  poids net,,1,100g350F,282,,350
1891,vanoise macreme a tartiner avx noisettes e av cacao 500g,6191402900549,,1167,1500,,1
1892,kdo savon de marreille 300g,6186000115044,,232,300,,1
1893,macico 275g,6186000195701,,200,250,,1
1894,300chocolate  classic compose au lait 90g 300,8691707052304,,250,300,,1
1895,600bon coco chips composition,,1, noix de coco gingembre sucre 600F,500,,600
1896,melton finest quality tea estate  beautiful breakfast tea 200g,9312631160741,,1125,1400,,1
1897,dilmah the single origin tea 100% pure ceylon 150g net,,1,5.3oz,1584,,1800
1898,dilmah ginger honey 40g net,,1,,1000,,1250
1899,dilmah mint 40 net,,1,1.41oz,1000,,1250
1900,president milk lait entier 1litre/litro,3228024910366,,1375,1700,,1
1901,kalyppo muctifruit 250ml,9501053210534,,136,200,,1
1902,500gingembre en poudre  seu nos    produits  les meilleurs 500F,,,350,500,,1
1903,bama mayonnaise,8410300363422,,1146,1400,,1
1904,NEWTON SEAWARD RARE WHISKY,8904020700587,,1500,3500,,1
1905,IORD MASTER IMPORTED 750ML,8901544040533,,1500,3500,,1
1906,ALOMO BITTRS,6033000340214,,959,2000,,1
1907,ORIS  COCO CARIBE,5414145037923,,1250,2000,,1
1908,BARON SIMON,8410261701028,,1334,1700,,1
